PLAYER,TEAM,YEAR,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
A.J. Lawson,DAL,2023,15,5,10,7.2,3155.2,0.6,0.32,0.28,4.64,4.88,4.3
AJ Green,MIL,2023,35,27,8,9.9,4053.2,0.77,0.42,0.34,4.35,4.73,3.96
AJ Griffin,ATL,2023,72,34,38,19.5,8386.3,1.59,0.85,0.74,4.56,4.96,4.17
Aaron Gordon,DEN,2023,68,45,23,30.2,11320.4,2.14,1.12,1.02,3.99,4.22,3.77
Aaron Holiday,ATL,2023,63,32,31,13.4,5413.9,1.03,0.52,0.5,4.27,4.35,4.18
Aaron Nesmith,IND,2023,73,30,43,24.9,10220.3,1.94,1,0.93,4.36,4.66,4.08
Aaron Wiggins,OKC,2023,70,37,33,18.5,7937.8,1.5,0.8,0.71,4.55,4.94,4.18
Admiral Schofield,ORL,2023,37,14,23,12.2,4934.2,0.93,0.5,0.43,4.28,4.53,4.03
Al Horford,BOS,2023,63,44,19,30.5,11245.7,2.13,1.13,1,3.93,4.2,3.67
Alec Burks,DET,2023,50,12,38,22,8408.5,1.59,0.84,0.76,4.04,4.26,3.83
Aleksej Pokusevski,OKC,2023,34,16,18,20.6,8333.6,1.58,0.88,0.7,4.32,4.96,3.72
Alex Caruso,CHI,2023,66,32,34,23.5,9734.7,1.84,0.96,0.88,4.37,4.71,4.05
Alex Len,SAC,2023,26,15,11,6.2,2512.2,0.48,0.25,0.22,4.27,4.58,3.91
Alize Johnson,SAS,2023,4,1,3,7.4,3226.5,0.61,0.34,0.27,4.52,5.03,4.03
Alondes Williams,BKN,2023,1,1,0,5.3,2184,0.41,0.23,0.18,4.27,3.78,4.91
Alperen Sengun,HOU,2023,75,18,57,28.9,10442.8,1.98,1.05,0.92,3.85,3.92,3.77
Amir Coffey,LAC,2023,50,26,24,12.5,4768.8,0.9,0.47,0.43,4.02,4.09,3.92
Andre Drummond,CHI,2023,67,32,35,12.7,4842.6,0.92,0.46,0.46,4.03,4.2,3.88
Andre Iguodala,GSW,2023,7,2,5,13.5,5315.9,1.01,0.56,0.45,4.15,4.66,3.65
Andrew Nembhard,IND,2023,75,32,43,27.6,11239.1,2.13,1.11,1.02,4.31,4.63,4
Andrew Wiggins,GSW,2023,36,18,18,32.3,12314.7,2.33,1.22,1.12,4.07,4.38,3.77
Anfernee Simons,POR,2023,62,27,35,35,13611.3,2.58,1.44,1.14,4.13,4.52,3.72
Anthony Davis,LAL,2023,56,31,25,34,11974.9,2.27,1.21,1.05,3.76,4.03,3.49
Anthony Edwards,MIN,2023,78,39,39,36.1,13490.3,2.55,1.36,1.2,3.96,4.28,3.65
Anthony Gill,WAS,2023,59,21,38,10.6,4322.9,0.82,0.45,0.37,4.29,4.6,3.97
Anthony Lamb,GSW,2023,61,35,26,19.2,7903.9,1.5,0.84,0.66,4.35,4.92,3.79
Austin Reaves,LAL,2023,64,35,29,28.8,11146.5,2.11,1.15,0.96,4.11,4.44,3.77
Austin Rivers,MIN,2023,52,25,27,19.5,7451.3,1.41,0.72,0.69,4.03,4.17,3.9
Ayo Dosunmu,CHI,2023,79,39,40,26.2,10789.3,2.04,1.05,1,4.38,4.64,4.14
Bam Adebayo,MIA,2023,75,40,35,34.6,12940.8,2.45,1.31,1.14,3.97,4.25,3.69
Ben Simmons,BKN,2023,42,24,18,26.3,9716.2,1.84,0.97,0.87,3.93,4.32,3.58
Bennedict Mathurin,IND,2023,78,33,45,28.5,11364.2,2.15,1.14,1.01,4.21,4.52,3.9
Bismack Biyombo,PHX,2023,61,33,28,14.3,5551.5,1.05,0.56,0.49,4.1,4.29,3.93
Blake Griffin,BOS,2023,41,27,14,13.9,4916.3,0.93,0.51,0.42,3.79,3.94,3.6
Blake Wesley,SAS,2023,34,8,26,18,7741.1,1.47,0.81,0.66,4.55,4.98,4.11
Boban Marjanovic,HOU,2023,31,7,24,5.5,1937.6,0.37,0.18,0.18,3.69,3.89,3.52
Bobby Portis,MIL,2023,70,47,23,26,10463.2,1.98,1.07,0.91,4.29,4.6,3.97
Bogdan Bogdanovic,ATL,2023,54,27,27,27.9,11095.2,2.1,1.16,0.94,4.2,4.7,3.72
Bojan Bogdanovic,DET,2023,58,15,43,32,12375.1,2.34,1.29,1.06,4.1,4.47,3.74
Bol Bol,ORL,2023,70,26,44,21.5,8400.9,1.59,0.82,0.77,4.15,4.32,3.98
Bones Hyland,LAC,2023,56,36,20,19.4,7591.4,1.44,0.79,0.65,4.15,4.49,3.79
Bradley Beal,WAS,2023,50,24,26,33.5,12923.5,2.45,1.39,1.05,4.1,4.47,3.7
Brandon Boston Jr.,LAC,2023,22,9,13,11.3,4552.9,0.86,0.46,0.4,4.23,4.49,3.96
Brandon Clarke,MEM,2023,56,32,24,19.5,8108.9,1.54,0.81,0.73,4.37,4.68,4.07
Brandon Ingram,NOP,2023,45,23,22,34.2,12441.6,2.36,1.3,1.05,3.86,4.3,3.42
Braxton Key,DET,2023,3,0,3,3,1299,0.25,0.11,0.13,4.19,4.91,3.77
Brook Lopez,MIL,2023,78,57,21,30.4,10983.4,2.08,1.11,0.97,3.86,4.13,3.6
Bruce Brown,DEN,2023,80,53,27,28.5,10854.7,2.06,1.11,0.94,4.04,4.37,3.71
Bruno Fernando,ATL,2023,39,13,26,10.4,3975.2,0.75,0.41,0.34,4.05,4.4,3.69
Bryce McGowens,CHA,2023,46,16,30,17.1,6879.1,1.3,0.69,0.61,4.23,4.54,3.94
Bryn Forbes,MIN,2023,25,9,16,10.7,4362,0.83,0.44,0.39,4.31,4.75,3.87
Buddy Boeheim,DET,2023,10,2,8,9,3638.4,0.69,0.36,0.33,4.23,4.26,4.19
Buddy Hield,IND,2023,80,35,45,31,13062.4,2.47,1.35,1.13,4.47,5,3.97
CJ McCollum,NOP,2023,75,38,37,35.3,14100,2.67,1.49,1.18,4.25,4.82,3.69
Cade Cunningham,DET,2023,12,3,9,33.4,13146.8,2.49,1.39,1.1,4.18,4.67,3.67
Caleb Houstan,ORL,2023,51,20,31,15.9,6614,1.25,0.68,0.57,4.38,4.73,4.03
Caleb Martin,MIA,2023,71,38,33,29.3,12634.1,2.39,1.29,1.1,4.58,4.92,4.22
Cam Reddish,POR,2023,40,14,26,24.7,9899.5,1.87,0.97,0.9,4.24,4.4,4.08
Cam Thomas,BKN,2023,57,30,27,16.6,6523,1.24,0.68,0.55,4.18,4.58,3.79
Cameron Johnson,BKN,2023,42,25,17,28.6,11229.1,2.13,1.16,0.97,4.18,4.55,3.81
Cameron Payne,PHX,2023,48,27,21,20.2,7864.5,1.49,0.84,0.65,4.14,4.64,3.63
Caris LeVert,CLE,2023,74,45,29,30.2,11693.6,2.21,1.2,1.01,4.08,4.32,3.83
Carlik Jones,CHI,2023,6,3,3,9.1,3446.2,0.65,0.34,0.32,3.97,4.3,3.68
Cedi Osman,CLE,2023,77,48,29,20.1,7817.1,1.48,0.79,0.69,4.1,4.25,3.94
Chance Comanche,POR,2023,1,0,1,20.8,8344,1.58,0.79,0.79,4.28,4.44,4.13
Charles Bassey,SAS,2023,35,9,26,14.5,5781.7,1.1,0.58,0.51,4.18,4.51,3.86
Chima Moneke,SAC,2023,2,1,1,4,1658,0.31,0.16,0.15,4.23,4.64,3.88
Chimezie Metu,SAC,2023,66,41,25,10.4,4219.2,0.8,0.41,0.39,4.22,4.53,3.95
Chris Boucher,TOR,2023,76,39,37,20.1,8085.4,1.53,0.81,0.72,4.26,4.46,4.05
Chris Duarte,IND,2023,46,19,27,19.5,8366.7,1.58,0.84,0.75,4.54,4.91,4.19
Chris Paul,PHX,2023,59,33,26,32,10729.3,2.03,1.13,0.9,3.57,3.93,3.2
Chris Silva,DAL,2023,1,1,0,3,1536,0.29,0.15,0.14,5.07,3.47,3.29
Christian Braun,DEN,2023,76,49,27,15.5,6402.7,1.21,0.64,0.57,4.36,4.58,4.12
Christian Koloko,TOR,2023,58,29,29,13.8,5626.2,1.07,0.55,0.51,4.3,4.51,4.11
Christian Wood,DAL,2023,67,33,34,25.9,9450.1,1.79,0.95,0.84,3.86,3.99,3.73
Chuma Okeke,ORL,2023,27,8,19,19.2,7722.3,1.46,0.77,0.69,4.26,4.4,4.11
Clint Capela,ATL,2023,65,35,30,26.6,10098.6,1.91,1,0.92,4.03,4.23,3.84
Coby White,CHI,2023,73,36,37,23.5,8946,1.69,0.87,0.83,4.04,4.27,3.83
Cody Martin,CHA,2023,7,2,5,19.1,8315.4,1.57,0.84,0.73,4.57,4.86,4.28
Cody Zeller,MIA,2023,15,6,9,14.4,5798.5,1.1,0.61,0.49,4.26,4.61,3.89
Cole Anthony,ORL,2023,60,28,32,25.9,10809.4,2.05,1.1,0.95,4.41,4.79,4.04
Cole Swider,LAL,2023,7,2,5,5.9,2552.7,0.48,0.28,0.21,4.54,4.87,3.9
Collin Sexton,UTA,2023,48,24,24,23.9,9063.3,1.72,0.93,0.78,3.99,4.29,3.69
Corey Kispert,WAS,2023,74,31,43,28.3,11568.3,2.19,1.23,0.96,4.34,4.77,3.88
Cory Joseph,DET,2023,62,12,50,19.8,8196,1.55,0.84,0.71,4.36,4.65,4.06
D'Angelo Russell,LAL,2023,71,39,32,32.5,12485.7,2.36,1.3,1.06,4.09,4.61,3.6
Daishen Nix,HOU,2023,57,15,42,16,6075.5,1.15,0.62,0.53,4,4.23,3.76
Dalano Banton,TOR,2023,31,17,14,9,3884.2,0.74,0.39,0.35,4.55,4.81,4.28
Dalen Terry,CHI,2023,37,18,19,5.8,2382.7,0.45,0.23,0.22,4.4,4.68,4.1
Damian Jones,UTA,2023,41,12,29,11.6,4592.5,0.87,0.45,0.42,4.15,4.42,3.9
Damian Lillard,POR,2023,58,27,31,36.3,13547.9,2.57,1.46,1.11,3.96,4.46,3.45
Damion Lee,PHX,2023,74,40,34,20.4,8441.3,1.6,0.89,0.71,4.36,4.74,3.97
Daniel Gafford,WAS,2023,78,32,46,20.6,8091.5,1.53,0.82,0.72,4.18,4.31,4.05
Daniel Theis,IND,2023,7,1,6,15.6,5761.1,1.09,0.57,0.52,3.94,4.11,3.77
Danny Green,CLE,2023,11,6,5,12.6,5457.6,1.03,0.54,0.49,4.52,4.95,4.13
Danuel House Jr.,PHI,2023,56,38,18,14.4,5888.4,1.12,0.58,0.53,4.32,4.53,4.09
Dario Saric,OKC,2023,57,26,31,14.1,5678.7,1.08,0.58,0.49,4.24,4.55,3.93
Darius Bazley,PHX,2023,43,19,24,14.3,5800.7,1.1,0.58,0.52,4.31,4.74,3.92
Darius Days,HOU,2023,4,0,4,6.3,2579,0.49,0.25,0.24,4.37,4.3,4.44
Darius Garland,CLE,2023,69,40,29,35.5,13853.1,2.62,1.45,1.17,4.14,4.53,3.73
David Duke Jr.,BKN,2023,23,10,13,9.9,3962.7,0.75,0.4,0.35,4.2,4.43,3.97
David Roddy,MEM,2023,70,44,26,18,7195.7,1.36,0.71,0.65,4.23,4.43,4.03
Davion Mitchell,SAC,2023,80,47,33,18.1,7544.7,1.43,0.75,0.67,4.43,4.78,4.09
Davis Bertans,DAL,2023,45,20,25,10.9,4448,0.84,0.47,0.37,4.31,4.82,3.83
Davon Reed,LAL,2023,43,29,14,8,3255.5,0.62,0.34,0.27,4.29,4.62,3.95
Day'Ron Sharpe,BKN,2023,48,22,26,11.5,4655.1,0.88,0.47,0.41,4.26,4.53,3.98
De'Aaron Fox,SAC,2023,73,44,29,33.4,13188.5,2.5,1.33,1.17,4.17,4.64,3.74
De'Andre Hunter,ATL,2023,67,35,32,31.7,12092.4,2.29,1.23,1.06,4.05,4.42,3.68
De'Anthony Melton,PHI,2023,77,50,27,27.9,11037.3,2.09,1.11,0.98,4.21,4.38,4.02
DeAndre Jordan,DEN,2023,39,23,16,15,5034.2,0.95,0.51,0.45,3.57,3.7,3.42
DeMar DeRozan,CHI,2023,73,36,37,36.2,12703.9,2.41,1.3,1.1,3.79,4.2,3.39
Dean Wade,CLE,2023,44,30,14,20.3,7940.4,1.5,0.79,0.71,4.14,4.26,4.02
Deandre Ayton,PHX,2023,67,36,31,30.4,10978.6,2.08,1.12,0.96,3.85,4.1,3.6
Dejounte Murray,ATL,2023,74,38,36,36.4,14148.2,2.68,1.47,1.21,4.14,4.57,3.71
Delon Wright,WAS,2023,50,26,24,24.4,9726.2,1.84,1.01,0.83,4.19,4.41,3.95
Deni Avdija,WAS,2023,76,33,43,26.6,10448.6,1.98,1.08,0.9,4.16,4.41,3.9
Dennis Schroder,LAL,2023,67,37,30,29.6,11591.9,2.2,1.14,1.06,4.16,4.32,4
Dennis Smith Jr.,CHA,2023,54,19,35,25.7,10330,1.96,1.04,0.92,4.24,4.56,3.92
Deonte Burton,SAC,2023,2,1,1,3.3,1447.5,0.27,0.14,0.14,4.05,5.65,4.27
Dereon Seabron,NOP,2023,5,2,3,2.3,947.2,0.18,0.09,0.09,4.15,5.21,3.31
Derrick Jones Jr.,CHI,2023,63,28,35,13.9,5676.5,1.08,0.56,0.52,4.3,4.69,3.97
Derrick Rose,NYK,2023,27,12,15,12.5,5102.2,0.97,0.53,0.44,4.33,4.75,3.92
Derrick White,BOS,2023,82,57,25,28.3,10846.1,2.05,1.11,0.95,4.09,4.41,3.77
Desmond Bane,MEM,2023,58,38,20,31.8,12620.3,2.39,1.3,1.09,4.2,4.67,3.76
Devin Booker,PHX,2023,53,34,19,34.6,12974.5,2.46,1.37,1.09,3.97,4.4,3.54
Devin Vassell,SAS,2023,38,12,26,31,13087.5,2.48,1.4,1.08,4.47,5.03,3.9
Devon Dotson,WAS,2023,6,1,5,8.8,3769.8,0.71,0.38,0.33,4.45,4.71,4.2
Devonte' Graham,SAS,2023,73,31,42,18.3,7211.4,1.37,0.76,0.61,4.17,4.59,3.74
Dewayne Dedmon,PHI,2023,38,23,15,11.2,4220.9,0.8,0.44,0.36,3.98,4.2,3.73
Dillon Brooks,MEM,2023,73,46,27,30.3,11587,2.19,1.09,1.11,4.05,4.11,3.99
